time,frame_number,protocol,source,destination,length,ttl,source_port,destination_port,tcp_flags,dns_query,dns_response,http_request_method,http_host,http_user_agent,ssl_version,tls_handshake_type
1711166275.669967,1,TCP,,,94,,443,52572,18,,,,,,,
1711166275.670054,2,TCP,,,86,,52572,443,16,,,,,,,
1711166275.675022,3,TLS,,,603,,52572,443,24,,,,,,,1
1711166275.686192,4,TCP,,,86,,443,52572,16,,,,,,,
1711166275.686197,5,TLS,,,1410,,443,52572,16,,,,,,,2
1711166275.686199,6,TCP,,,1410,,443,52572,16,,,,,,,
1711166275.686202,7,TCP,,,1410,,443,52572,16,,,,,,,
1711166275.686204,8,TLS,,,796,,443,52572,24,,,,,,,
1711166275.686285,9,TCP,,,86,,52572,443,16,,,,,,,
1711166275.686649,10,TLS,,,150,,52572,443,24,,,,,,,
